Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
2.007500e+004 132342.972215 31805.463871 37882.295645 18982.252334 47266.769116 0.004944 40552.503003 5950.354238 7182.388779 11665.099433 806.961097 12487.269871 2036.459654 3563.185248 366209.940677 269759.622709 56306.385485 367240.115302 411254.125612 2399081.268911 2592437.591510 1911035.644973 460171.948831 4481.651126 316859.841096 111242.002064 1983373.327383 1701.475659 812556.169088 2254202.536716 393168.306427 0.000000 183011229.068985 0.927621 0.139103 3.924569 0.447866 1.789019 0.000009 15.507624 8.106087 0.121114 1.603249 0.794964 1.929485 0.375205 0.194476 0.242696 0.811969 5.669533 2.239196 6.102451 18.379969 1.360237 2.476686 9.759391 0.120313 0.323608 0.189687 7.817993 0.008348 156.244705 7.218322 1.258989 1.000000 1.013988 6833273435388508100000000.000000 0.122123 22.470588 27371524557.592369 -6229.542613 0.164981
2.010000e+004 134447.305127 31938.814644 36703.438248 17675.487300 48094.246438 0.005012 41481.361496 6101.459492 7112.122911 12198.391884 810.306002 12623.212189 1994.801651 3636.240948 367658.389365 234438.283795 54268.098624 347197.231937 410576.709543 2626563.075873 2636231.562510 1920478.615716 457870.410651 4486.275883 318076.519311 110659.210391 1814203.711122 1531.656774 637793.533022 2288966.466964 350655.205139 0.000000 184056446.383101 0.942370 0.139686 3.802441 0.417034 1.820339 0.000009 15.862827 8.311936 0.119929 1.676545 0.798259 1.950490 0.367530 0.198463 0.243656 0.705653 5.464296 2.116987 6.092399 20.122765 1.383215 2.488924 9.710579 0.120437 0.324851 0.188694 7.151166 0.007515 122.639968 7.329642 1.122855 1.000000 1.019779 6991340174970287300000000.000000 0.121092 22.529412 27522544915.215569 -6031.912069 0.121317
2.020000e+004 124944.066814 29728.297307 35207.164491 15997.495331 49865.382897 0.004481 43224.007543 4823.052548 6334.560774 14944.989709 976.826185 10180.618994 1913.292017 3028.385591 361628.664801 156008.747890 27889.876091 284323.768536 408476.358514 3007724.990217 2519085.032055 1957258.207257 442536.742482 4142.013813 313107.522721 108062.299662 1277452.791509 623.889630 649651.228532 2337324.131298 266353.644565 0.000000 185097133.570400 0.875760 0.130018 3.647428 0.377444 1.887375 0.000008 16.529230 6.570379 0.106817 2.054037 0.962304 1.573070 0.352512 0.165287 0.239660 0.469582 2.808253 1.733625 6.061233 23.042943 1.321749 2.536591 9.385381 0.111195 0.319776 0.184265 5.035420 0.003061 124.920059 7.484491 0.852908 1.000000 1.025545 0.472715 0.419857 23.970588 26634337646.148045 -5786.044364 0.122879
2.030000e+004 122760.558646 32291.380484 36403.882797 16436.743828 59598.532811 0.004538 39745.393171 5648.660625 5950.245302 20773.787061 1123.527440 11456.602438 2391.013557 3449.001970 635371.140008 415895.156144 109933.736652 284090.733125 470527.903667 1186760.220910 2076721.326623 1960242.580976 456402.740700 4155.043219 309545.573701 111790.462325 4608925.100189 269.844478 1167834.808089 2216218.650805 377839.729588 0.000000 182679922.038744 0.860455 0.141228 3.771407 0.387808 2.255769 0.000008 15.198978 7.695094 0.100337 2.855145 1.106824 1.770230 0.440530 0.188244 0.421076 1.251833 11.069311 1.732204 6.981993 9.092071 1.089644 2.540458 9.679453 0.111545 0.316138 0.190623 18.167303 0.001324 224.560483 7.096691 1.209904 1.000000 1.012152 0.297050 0.349056 26.235294 26162567230.833012 -5910.996702 0.295758
2.040000e+004 150537.587371 31946.634941 43044.506561 20340.619893 48570.789897 0.004084 40851.069680 6001.838062 7575.235748 9842.262637 840.673035 12239.119417 2090.590770 3511.493376 282309.371123 358025.809889 97081.387182 334107.671212 487929.302154 424746.036286 2295777.176072 1932452.538618 465624.564655 4407.245333 319529.228825 117106.339585 2408413.743450 1387.387550 571746.097445 2204290.503135 420770.961406 0.000000 185764650.997469 1.055151 0.139720 4.459369 0.479915 1.838375 0.000007 15.621798 8.176223 0.127738 1.352719 0.828175 1.891142 0.385179 0.191654 0.187093 1.077648 9.775198 2.037175 7.240206 3.254087 1.204581 2.504443 9.875030 0.118316 0.326334 0.199687 9.493403 0.006807 109.939847 7.058495 1.347377 1.000000 1.029243 0.379984 0.474247 26.205882 27972715563.426250 -7117.260807 0.073615
2.044000e+004 155408.752817 31587.432778 38044.922853 18725.930224 51730.769427 0.004111 42982.032914 6366.394583 7448.601246 11311.146550 854.956529 12650.903983 2045.084777 3651.857775 270932.122838 275739.558551 58197.920196 335375.137999 485076.565457 500702.461507 2523359.853928 1951627.746246 464935.004241 4498.993774 320460.048941 117232.135309 2097179.310681 1711.428559 308620.672451 2227515.387568 395539.486372 0.000000 186100878.512619 1.089294 0.138149 3.941417 0.441818 1.957979 0.000007 16.436697 8.672853 0.125603 1.554602 0.842246 1.954769 0.376795 0.199315 0.179553 0.829969 5.859993 2.044903 7.197876 3.836008 1.323992 2.529294 9.860406 0.120779 0.327285 0.199902 8.266589 0.008397 59.344016 7.132865 1.266582 1.000000 1.031106 7248867831839497100000000.000000 0.136507 22.558824 28256704087.368874 -6256.306183 0.036311
2.050000e+004 150561.057694 28427.835585 37750.324715 16965.018665 52303.272528 0.004232 43530.665366 6736.875607 7241.256634 12453.127825 860.778257 13082.212244 1997.620572 2870.106751 266530.158063 220834.592332 54477.667528 286501.563062 484005.322637 508796.226360 2647763.614566 1965111.917547 449306.219256 4216.214624 322026.638237 113563.030651 1619706.218189 962.566944 254117.241004 2206790.637618 249970.263614 0.000000 188205446.088771 1.055315 0.124331 3.910897 0.400272 1.979648 0.000007 16.646499 9.177554 0.122107 1.711556 0.847981 2.021413 0.368050 0.156648 0.176636 0.664706 5.485398 1.746903 7.181980 3.898017 1.389266 2.546769 9.528949 0.113187 0.328885 0.193645 6.384502 0.004723 48.863666 7.066501 0.800445 1.000000 1.042767 7371545925547593200000000.000000 0.128777 22.411765 28283801496.475945 -6213.357503 0.039381
2.060000e+004 116504.219828 30585.974690 37542.529717 16807.684256 53916.704684 0.003692 35060.283204 5293.819185 6060.598100 16777.538790 1124.524375 11325.070120 2828.283073 3237.802849 288374.085126 162389.295295 22511.568637 254638.243233 481175.228873 2225416.174855 2458568.600630 1966783.873684 434503.993496 3749.237301 308155.717257 108304.029051 1252725.672036 434.033802 1613591.831596 2256434.998042 268914.263569 0.000000 184685843.814198 0.816603 0.133770 3.889370 0.396559 2.040715 0.000006 13.407352 7.211698 0.102198 2.305902 1.107806 1.749906 0.521094 0.176717 0.191113 0.488787 2.266707 1.552621 7.139985 17.049477 1.289997 2.548936 9.215021 0.100651 0.314719 0.184678 4.937951 0.002130 310.274157 7.225471 0.861107 1.000000 1.023266 0.415862 0.399220 23.852941 26329514742.068523 -6032.887022 0.208856
2.070000e+004 114396.387495 32677.132520 36354.361140 16905.032318 65949.608512 0.003242 35474.584097 5500.178951 5798.035233 13766.121823 1176.771600 12246.570687 2458.282470 3275.484823 484364.517952 473873.489016 84730.292786 266336.177258 610372.085569 1301113.858951 1990286.863815 2040281.431727 457909.209379 3824.472956 313712.948822 109614.731574 3359730.987042 457.837583 1046771.933952 2143550.955584 416124.811953 0.000000 183391778.431329 0.801829 0.142915 3.766277 0.398856 2.496153 0.000006 13.565784 7.492819 0.097770 1.892013 1.159277 1.892293 0.452924 0.178773 0.321000 1.426346 8.531557 1.623948 9.057090 9.968163 1.044292 2.644188 9.711402 0.102671 0.320394 0.186913 13.243272 0.002246 201.281559 6.863998 1.332499 1.000000 1.016096 0.248366 0.373264 26.235294 26520277927.254356 -5890.700012 0.141293
2.080000e+004 115893.143445 32254.734511 42488.244339 20218.086452 45624.067593 0.003311 39577.100839 6296.795670 7266.448683 17116.306386 870.020955 13123.824311 2251.105437 3639.166506 684393.232935 354310.638923 70116.585677 308745.258317 486209.953684 2599148.389668 2081701.253780 1929071.200280 469607.247003 4075.345324 323634.849887 112488.924697 2038794.041975 626.448565 702115.149917 2133785.656997 373706.916928 0.000000 182754377.541861 0.812320 0.141068 4.401741 0.477024 1.726844 0.000006 15.134622 8.578039 0.122531 2.352462 0.857086 2.027843 0.414753 0.198623 0.453564 1.066465 7.060092 1.882531 7.214693 19.912734 1.092257 2.500060 9.959496 0.109406 0.330528 0.191814 8.036448 0.003074 135.008236 6.832727 1.196670 1.000000 1.012565 0.353488 0.341211 26.264706 27790727088.116993 -6992.694255 0.078892
