Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP DRE CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelDRE RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
2.956500e+004 107999.032785 14429.765189 8583.487554 9269.060829 96094.181106 22868.206554 18858.342794 5154.286891 8019.517108 28152.428135 898.702459 15511.724010 2171.795132 2226.205327 791652.441536 557157.955925 97428.769890 437547.342176 148051.749174 5900639.641118 2054854.848084 1812413.191038 426011.037790 54611523.330210 4827.971838 153263.829308 218715.504510 1448525.440052 100654.492705 4487456.115139 1918665.538903 462073.524451 0.000000 187406329.057661 0.756989 0.063109 0.889241 0.218694 3.637107 39.433341 7.211591 7.021615 0.135230 3.869264 0.885342 2.396812 0.400140 0.121504 0.524648 1.677030 9.810177 2.667884 2.196886 45.206295 1.078170 2.348873 9.034901 228.657665 0.129611 0.156528 0.372949 5.709748 0.493848 862.883435 6.143878 1.479634 1.000000 1.038339 3426570713539472700000000.000000 0.124178 23.470588 0.239899 -1114.269205 5.366566
2.960000e+004 103061.743837 13696.847643 8320.529086 8695.445109 97475.608968 23790.447283 18976.608202 5286.407361 7895.227894 29543.347887 901.753919 15750.982974 2107.209119 1746.557375 811822.005157 506090.155888 93157.756673 403750.234631 147695.420628 6475524.682696 3496393.805765 1801480.383931 425680.202721 54676396.506828 4826.952494 154988.961022 216528.670882 1120737.722677 58024.487223 2874312.893590 2183132.223298 409866.890893 0.000000 184317520.398539 0.722382 0.059904 0.861999 0.205160 3.689394 41.023629 7.256817 7.201601 0.133134 4.060432 0.888348 2.433782 0.388241 0.095326 0.538014 1.523318 9.380125 2.461811 2.191599 49.610635 1.834537 2.334704 9.027885 228.929289 0.129583 0.158290 0.369220 4.417685 0.284689 552.695541 6.990743 1.312460 1.000000 1.021225 3458463236595789500000000.000000 0.116143 23.617647 0.242304 -1079.794638 5.144512
2.970000e+004 73533.093685 13879.115114 8009.281332 8207.501627 99351.361588 20645.812542 18761.334119 4228.669115 6792.745103 34055.080222 1139.529196 13110.781491 2029.178976 1906.361630 847281.327744 428318.323489 59684.906902 358830.886456 146832.253021 6767927.793562 3768169.413478 2065014.341164 415835.658065 54785551.116288 4441.056845 148291.969381 212708.535028 625659.312229 4152.411492 1555366.262808 2579243.044866 398347.230630 0.000000 185865600.246198 0.515409 0.060701 0.829754 0.193647 3.760390 35.601103 7.174495 5.760659 0.114544 4.680524 1.122588 2.025828 0.373864 0.104048 0.561514 1.289227 6.009718 2.187921 2.178791 51.850809 1.977137 2.676242 8.819100 229.386317 0.119223 0.151450 0.362706 2.466202 0.020373 299.078086 8.259154 1.275572 1.000000 1.029803 0.175664 0.246187 25.029412 0.303767 -1039.264434 5.038247
2.980000e+004 47915.346329 14165.171764 7707.523167 8172.537607 117600.922541 22368.893536 17481.913545 4677.951096 6267.801525 40263.493242 1181.836201 14028.047336 2407.911038 2093.436366 604876.402704 716679.738252 154968.565600 401676.970599 182834.634504 3632905.462736 1306947.788859 2147377.356610 436102.797953 54845850.597230 4353.954338 144880.811922 223292.282640 4913237.551494 7676.457606 4045100.434358 2346495.510501 635459.188091 0.000000 186685368.491566 0.335849 0.061952 0.798492 0.192822 4.451125 38.572339 6.685233 6.372709 0.105692 5.533807 1.164266 2.167560 0.443643 0.114258 0.400867 2.157187 15.603902 2.449170 2.713017 27.832609 0.685748 2.782983 9.248929 229.638790 0.116885 0.147966 0.380753 19.366831 0.037664 777.823798 7.513859 2.034843 1.000000 1.034345 0.099074 0.163627 27.382353 0.230424 -921.004035 5.446896
2.990000e+004 106496.396003 15113.214048 9106.314050 9865.820914 84546.964875 21765.267974 18018.285169 4635.655107 7617.395478 20661.354025 815.569683 14765.625805 2085.616761 2093.225047 941083.197232 555579.594604 138787.553509 504115.297275 194105.475949 7693479.987777 1775254.784451 1961106.515326 445263.369064 54962320.602766 4578.956605 153476.692666 227704.677507 1888760.651887 93088.206927 3757466.309885 2204183.167023 574837.065437 0.000000 184907589.818993 0.746456 0.066099 0.943405 0.232774 3.200052 37.531463 6.890346 6.315090 0.128449 2.839693 0.803445 2.281528 0.384262 0.114246 0.623679 1.672279 13.974624 3.073773 2.880261 58.941699 0.931466 2.541578 9.443207 230.126449 0.122926 0.156745 0.388277 7.445052 0.456725 722.515241 7.058152 1.840721 1.000000 1.024495 0.153100 0.438436 27.294118 0.269332 -1220.106373 5.370817
2.993000e+004 107497.843723 14751.936833 8732.332881 9528.273097 87083.706845 22103.308267 18297.090977 4775.739129 7574.634062 21724.095641 821.728710 15103.872738 2042.908061 2139.984587 1003494.276771 485601.297328 91008.360863 505465.461590 193441.769423 9567322.529200 2301889.090842 1958392.753356 441490.969213 55007528.908535 4587.569605 151209.582104 227035.580782 1511405.398909 74817.049473 2650158.830504 2240260.476760 518992.354539 0.000000 183412848.339578 0.753476 0.064518 0.904661 0.224809 3.296066 38.114370 6.996964 6.505925 0.127728 2.985756 0.809512 2.333793 0.376393 0.116799 0.665040 1.461647 9.163701 3.082005 2.870412 73.297681 1.207788 2.538061 9.363202 230.315735 0.123157 0.154430 0.387136 5.957606 0.367080 509.593430 7.173677 1.661898 1.000000 1.016213 3301119586161773100000000.000000 0.136598 23.647059 0.289934 -1162.535503 5.199732
3.000000e+004 102031.928175 13978.197483 8350.625011 8578.606988 89216.785317 24144.598757 18541.357867 5011.988382 7363.928143 23417.152217 827.035603 15566.786775 1927.855496 1748.123897 1022771.610033 391966.263612 85461.317802 409590.960622 192401.721115 10509035.889324 2727831.461321 1951377.508888 439401.213745 55119636.034001 4525.265556 153662.279224 223245.375298 898367.875432 19158.925204 1071381.656927 2360311.026335 353700.614315 0.000000 185997982.148396 0.715164 0.061134 0.865117 0.202403 3.376802 41.634319 7.090374 6.827764 0.124175 3.218449 0.814740 2.405320 0.355196 0.095411 0.677816 1.179808 8.605165 2.497424 2.854979 80.512386 1.431277 2.528969 9.318882 230.785126 0.121484 0.156935 0.380673 3.541156 0.094001 206.013710 7.558098 1.132607 1.000000 1.030536 3363171771349032100000000.000000 0.125376 23.500000 0.316254 -1116.194260 4.957867
3.010000e+004 76132.272383 14213.556508 7983.379641 8390.228902 94274.233819 20638.112814 15698.701235 4172.064898 6355.269523 29195.514480 1092.740568 13242.815762 2711.012886 1960.047015 2119437.726462 414887.122236 50746.212912 393187.608353 201374.834045 3600258.027430 1362364.985821 1880204.212737 438783.156299 55198056.457487 4264.750376 140691.708959 219951.192546 1797440.993945 4198.127237 5797613.804280 2205369.152223 416654.092643 0.000000 189302987.194021 0.533628 0.062164 0.827070 0.197959 3.568224 35.587825 6.003318 5.683548 0.107167 4.012626 1.076495 2.046229 0.499488 0.106978 1.404604 1.248799 5.109675 2.397407 2.988128 27.582489 0.714825 2.436729 9.305774 231.113471 0.114490 0.143688 0.375056 7.085091 0.020598 1114.810883 7.061949 1.334194 1.000000 1.048848 0.176098 0.276377 24.911765 0.205603 -916.269141 5.619609
3.020000e+004 108688.945480 14940.663159 8128.869070 8631.485200 105032.828125 21270.832001 17086.008892 4231.194221 6878.962718 11136.291108 1131.983090 14056.092832 2145.491187 1961.579504 634463.238641 809182.900521 148001.459865 437539.074645 458204.716208 2172243.120480 1521845.903386 1996800.914363 448871.574513 55285935.656914 4297.223026 141767.795597 224882.256514 3761384.306014 19370.265164 1995411.238469 2073251.378530 592814.583599 0.000000 192781639.908281 0.761824 0.065344 0.842143 0.203651 3.975430 36.678870 6.533836 5.764099 0.115997 1.530570 1.115154 2.171894 0.395294 0.107061 0.420474 2.435619 14.902379 2.667834 6.799134 16.642105 0.798504 2.587838 9.519731 231.481420 0.115362 0.144787 0.383464 14.826496 0.095038 383.693402 6.638887 1.898288 1.000000 1.068121 0.129687 0.534607 27.235294 0.366392 -1039.833678 5.256882
3.029500e+004 140989.902313 14731.190324 8991.130303 9696.931857 89852.887720 22226.362996 18580.658479 4770.210681 8041.450193 13077.480659 808.007181 15063.557452 1945.817434 2142.204421 1030326.518896 441784.638204 95243.991156 509798.813038 436975.262591 9163078.741003 2055928.903919 1888738.013235 449173.104192 55448988.670705 4528.411445 148821.736350 224400.773408 1685690.447260 58382.957867 3237425.843289 2141737.031283 540183.088256 0.000000 183440135.719223 0.988229 0.064428 0.931472 0.228789 3.400878 38.326563 7.105403 6.498393 0.135600 1.797366 0.795995 2.327563 0.358505 0.116920 0.682823 1.329760 9.590190 3.108427 6.484118 70.200667 1.078734 2.447789 9.526126 232.164121 0.121569 0.151991 0.382643 6.644597 0.286448 622.517761 6.858189 1.729754 1.000000 1.016364 3343988000281718400000000.000000 0.197865 23.352941 0.264060 -1224.384242 5.323253
